Year,Units,Total,Disaggregation,Region,GeoCode,Value
2000,per 1000,Total,,,,88
2000,per 1000,,Urban,,,82
2000,per 1000,,Rural,,,92
2006,per 1000,Total,,,,78
2006,per 1000,,Urban,,,58
2006,per 1000,,Rural,,,92
2006,per 1000,Total,,!Karas,1,112
2006,per 1000,Total,,Erongo,2,76
2006,per 1000,Total,,Hardap,3,103
2006,per 1000,Total,,Kavango East,4,140
2006,per 1000,Total,,Kavango West,5,140
2006,per 1000,Total,,Khomas,6,42
2006,per 1000,Total,,Kunene,7,112
2006,per 1000,Total,,Ohangwena,8,70
2006,per 1000,Total,,Omaheke,9,137
2006,per 1000,Total,,Omusati,10,49
2006,per 1000,Total,,Oshana,11,49
2006,per 1000,Total,,Oshikoto,12,63
2006,per 1000,Total,,Otjozondjupa,13,120
2006,per 1000,Total,,Zambezi,14,121
2013,per 1000,Total,,,,82
2013,per 1000,,Urban,,,66
2013,per 1000,,Rural,,,101
