Year,Units,Total,Disaggregation,Region,Value
2013,%,,Total (15-24y),,32
2013,%,,Female (15-24y),,36.6
2013,%,,Male (15-24y),,27.2
2013,%,,Total (15-34y),,33.8
2013,%,,Urban(15y-34y),,32.5
2013,%,,Rural (15-34y),,35.2
2013,%,,Total (15-34y),!Karas,34.1
2013,%,,Total (15-34y),Erongo,29.8
2013,%,,Total (15-34y),Hardap,40.8
2013,%,,Total (15-34y),Kavango East,38.7
2013,%,,Total (15-34y),Kavango West,38.7
2013,%,,Total (15-34y),Khomas,30.8
2013,%,,Total (15-34y),Kunene,46.2
2013,%,,Total (15-34y),Ohangwena,33.8
2013,%,,Total (15-34y),Omaheke,33.4
2013,%,,Total (15-34y),Omusati,33.6
2013,%,,Total (15-34y),Oshana,36.9
2013,%,,Total (15-34y),Oshikoto,30.9
2013,%,,Total (15-34y),Otjozondjupa,33.1
2013,%,,Total (15-34y),Zambezi,28.6
2014,%,,Total (15-24y),,22
2014,%,,Female (15-24y),,23.9
2014,%,,Male (15-24y),,20.1
2014,%,,Total (15-34y),,24.1
2014,%,,Urban(15y-34y),,23
2014,%,,Rural (15-34y),,25.3
2014,%,,Total (15-34y),!Karas,23.4
2014,%,,Total (15-34y),Erongo,24
2014,%,,Total (15-34y),Hardap,28.6
2014,%,,Total (15-34y),Kavango East,26.2
2014,%,,Total (15-34y),Kavango West,19.6
2014,%,,Total (15-34y),Khomas,21
2014,%,,Total (15-34y),Kunene,30
2014,%,,Total (15-34y),Ohangwena,27.7
2014,%,,Total (15-34y),Omaheke,22.3
2014,%,,Total (15-34y),Omusati,21.2
2014,%,,Total (15-34y),Oshana,26.7
2014,%,,Total (15-34y),Oshikoto,20.1
2014,%,,Total (15-34y),Otjozondjupa,29.7
2014,%,,Total (15-34y),Zambezi,23.6
2016,%,,Total (15-24y),,33.4
2016,%,,Female (15-24y),,39.3
2016,%,,Male (15-24y),,27.7
2016,%,,Total (15-34y),,34.5
2016,%,,Urban(15y-34y),,32.5
2016,%,,Rural (15-34y),,36.9
2016,%,,Total (15-34y),!Karas,33.8
2016,%,,Total (15-34y),Erongo,25
2016,%,,Total (15-34y),Hardap,44.1
2016,%,,Total (15-34y),Kavango East,37.3
2016,%,,Total (15-34y),Kavango West,36.4
2016,%,,Total (15-34y),Khomas,31.9
2016,%,,Total (15-34y),Kunene,58.6
2016,%,,Total (15-34y),Ohangwena,34
2016,%,,Total (15-34y),Omaheke,33.9
2016,%,,Total (15-34y),Omusati,32.4
2016,%,,Total (15-34y),Oshana,31.3
2016,%,,Total (15-34y),Oshikoto,34.6
2016,%,,Total (15-34y),Otjozondjupa,38.6
2016,%,,Total (15-34y),Zambezi,39.3
2018,%,,Total (15-24y),,31.8
