Year,Units,Disaggregation,Region,GeoCode,Value
2004,%,Tree Covered Area,,,9.23
2004,%,Tree Covered Area,!Karas,1,0.541086724762099
2004,%,Tree Covered Area,Erongo,2,0.220019759666591
2004,%,Tree Covered Area,Hardap,3,0.668055878376667
2004,%,Tree Covered Area,Kavango East,4,21.5162328016518
2004,%,Tree Covered Area,Kavango West,5,21.5162328016518
2004,%,Tree Covered Area,Khomas,6,10.7840040938443
2004,%,Tree Covered Area,Kunene,7,15.5577179200184
2004,%,Tree Covered Area,Ohangwena,8,30.5422705736056
2004,%,Tree Covered Area,Omaheke,9,2.18560055514812
2004,%,Tree Covered Area,Omusati,10,33.192971087186
2004,%,Tree Covered Area,Oshana,11,21.4080550995206
2004,%,Tree Covered Area,Oshikoto,12,22.2737614145009
2004,%,Tree Covered Area,Otjozondjupa,13,12.0010437296315
2004,%,Tree Covered Area,Zambezi,14,32.8057699902845
2005,%,Forest Covered Area,,,9.31
2005,%,Tree Covered Area,,,9.25
2005,%,Tree Covered Area,!Karas,1,0.541086724762098
2005,%,Tree Covered Area,Erongo,2,0.220473107710184
2005,%,Tree Covered Area,Hardap,3,0.668055878376667
2005,%,Tree Covered Area,Kavango East,4,21.6372248778645
2005,%,Tree Covered Area,Kavango West,5,21.6372248778645
2005,%,Tree Covered Area,Khomas,6,10.7840040938443
2005,%,Tree Covered Area,Kunene,7,15.5658646889669
2005,%,Tree Covered Area,Ohangwena,8,30.6774241277505
2005,%,Tree Covered Area,Omaheke,9,2.18560055514812
2005,%,Tree Covered Area,Omusati,10,33.192971087186
2005,%,Tree Covered Area,Oshana,11,21.4080550995206
2005,%,Tree Covered Area,Oshikoto,12,22.303868973885
2005,%,Tree Covered Area,Otjozondjupa,13,12.0597080587021
2005,%,Tree Covered Area,Zambezi,14,32.8882337188873
2006,%,Tree Covered Area,,,9.29
2006,%,Tree Covered Area,!Karas,1,0.541086724762099
2006,%,Tree Covered Area,Erongo,2,0.226822311594008
2006,%,Tree Covered Area,Hardap,3,0.668107261277979
2006,%,Tree Covered Area,Kavango East,4,21.6938824916429
2006,%,Tree Covered Area,Kavango West,5,21.6938824916429
2006,%,Tree Covered Area,Khomas,6,10.8219519231716
2006,%,Tree Covered Area,Kunene,7,15.5707151047328
2006,%,Tree Covered Area,Ohangwena,8,30.8468257206921
