Year,Units,Disaggregation,Region,GeoCode,Value
2012,,,,,
2013,,,,,
2014,,,,,
2015,,,,,
2016,,,,,
2017,,,,,
2012,%,External Debt Service (Public and Private) in relation to exports,,,30.2
2013,%,External Debt Service (Public and Private) in relation to exports,,,39.2
2013,%,Foreign Debt Service (Public and Private)  in relation to exports,,,1.4
2014,%,External Debt Service (Public and Private) in relation to exports,,,31.6
2014,%,Foreign Debt Service (Public and Private)  in relation to exports,,,1.3
2015,%,External Debt Service (Public and Private) in relation to exports,,,40.6
2015,%,Foreign Debt Service (Public and Private)  in relation to exports,,,1.8
2016,%,External Debt Service (Public and Private) in relation to exports,,,41.8
2016,%,Foreign Debt Service (Public and Private)  in relation to exports,,,3.1
2017,%,External Debt Service (Public and Private) in relation to exports,,,43.0
2017,%,Foreign Debt Service (Public and Private)  in relation to exports,,,3.4
