Year,Units,Total,Disaggregation,NDP 5 Target,Region,GeoCode,Value
2004,Per 1000,Total,,,,,7.3
2004,Per 1000,,Female,,,,8.04
2004,Per 1000,,Male,,,,6.53
2004,Per 1000,,Total (15-49y),,,,11.86
2004,Per 1000,,Female (15-49y),,,,13.69
2004,,,Male (15-49y),,,,10.03
2004,,,Total (<15y),,,,3.2
2005,Per 1000,Total,,,,,6.55
2005,Per 1000,,Female,,,,7.24
2005,Per 1000,,Male,,,,5.85
2005,Per 1000,,Total (15-49y),,,,10.85
2005,Per 1000,,Female (15-49y),,,,12.53
2005,,,Male (15-49y),,,,9.17
2005,,,Total (<15y),,,,2.6
2006,Per 1000,Total,,,,,6.13
2006,Per 1000,,Female,,,,6.79
2006,Per 1000,,Male,,,,5.45
2006,Per 1000,,Total (15-49y),,,,10.28
2006,Per 1000,,Female (15-49y),,,,11.86
2006,,,Male (15-49y),,,,8.68
2006,,,Total (<15y),,,,2.24
2007,Per 1000,Total,,,,,5.59
2007,Per 1000,,Female,,,,6.19
2007,Per 1000,,Male,,,,4.96
2007,Per 1000,,Total (15-49y),,,,9.4
2007,Per 1000,,Female (15-49y),,,,10.85
2007,,,Male (15-49y),,,,7.95
2007,,,Total (<15y),,,,1.95
2008,Per 1000,Total,,,,,5.35
2008,Per 1000,,Female,,,,5.92
2008,Per 1000,,Male,,,,4.75
2008,Per 1000,,Total (15-49y),,,,8.9
2008,Per 1000,,Female (15-49y),,,,10.27
2008,,,Male (15-49y),,,,7.52
2008,,,Total (<15y),,,,1.93
2009,Per 1000,Total,,,,,5.4
2009,Per 1000,,Female,,,,5.97
2009,Per 1000,,Male,,,,4.8
2009,Per 1000,,Total (15-49y),,,,8.92
2009,Per 1000,,Female (15-49y),,,,10.29
2009,,,Male (15-49y),,,,7.54
2009,,,Total (<15y),,,,1.97
2010,Per 1000,Total,,,,,5.34
2010,Per 1000,,Female,,,,5.93
2010,Per 1000,,Male,,,,4.72
2010,Per 1000,,Total (15-49y),,,,9.06
2010,Per 1000,,Female (15-49y),,,,10.45
2010,,,Male (15-49y),,,,7.66
2010,,,Total (<15y),,,,1.62
2011,Per 1000,Total,,,,,4.97
2011,Per 1000,,Female,,,,5.52
2011,Per 1000,,Male,,,,4.4
2011,Per 1000,,Total (15-49y),,,,8.38
2011,Per 1000,,Female (15-49y),,,,9.67
2011,,,Male (15-49y),,,,7.08
2011,,,Total (<15y),,,,1.54
2012,Per 1000,Total,,,,,4.89
2012,Per 1000,,Female,,,,5.41
2012,Per 1000,,Male,,,,4.35
2012,Per 1000,,Total (15-49y),,,,8.0
2012,Per 1000,,Female (15-49y),,,,9.23
2012,,,Male (15-49y),,,,6.76
2012,,,Total (<15y),,,,1.76
2013,Per 1000,Total,,,,,4.75
2013,Per 1000,,Female,,,,5.26
2013,Per 1000,,Male,,,,4.22
2013,Per 1000,,Total (15-49y),,,,7.83
2013,Per 1000,,Female (15-49y),,,,9.04
2013,,,Male (15-49y),,,,6.62
2013,,,Total (<15y),,,,1.6
2014,Per 1000,Total,,,,,4.29
2014,Per 1000,,Female,,,,4.76
2014,Per 1000,,Male,,,,3.81
2014,Per 1000,,Total (15-49y),,,,7.08
2014,Per 1000,,Female (15-49y),,,,8.17
2014,,,Male (15-49y),,,,5.98
2014,,,Total (<15y),,,,1.4
2015,Per 1000,Total,,,,,4.12
2015,Per 1000,,Female,,,,4.56
2015,Per 1000,,Male,,,,3.66
2015,Per 1000,,Total (15-49y),,,,6.75
2015,Per 1000,,Female (15-49y),,,,7.79
2015,,,Male (15-49y),,,,5.71
2015,,,Total (<15y),,,,1.37
2016,Per 1000,Total,,,,,3.68
2016,Per 1000,,Female,,,,4.11
2016,Per 1000,,Male,,,,3.24
2016,Per 1000,,Total (15-49y),,,,6.34
2016,Per 1000,,Female (15-49y),,,,7.32
2016,,,Male (15-49y),,,,5.36
2016,,,Total (<15y),,,,0.79
2017,Per 1000,Total,,,,,3.49
2017,Per 1000,,Female,,,,3.9
2017,Per 1000,,Male,,,,3.07
2017,Per 1000,,Total (15-49y),,,,4.0
2017,Per 1000,,Female (15-49y),,,,6.7
2017,,,Male (15-49y),,,,1.5
2017,,,Total (<15y),,,,0.71
2020,,,,NDP5 Target,,,2.0
