Year,Units,Disaggregation,Value
2004,-,Forest area certified under an independently verified certification scheme  [1000 ha],270.73
2005,-,Forest area certified under an independently verified certification scheme  [1000 ha],292.16
2005,-,Proportion of forest area within legally established protected areas (%),9.96
2006,-,Forest area certified under an independently verified certification scheme  [1000 ha],306.49
2007,-,Forest area certified under an independently verified certification scheme  [1000 ha],219.62
2008,-,Forest area certified under an independently verified certification scheme  [1000 ha],219.62
2009,-,Forest area certified under an independently verified certification scheme  [1000 ha],327.92
2010,-,Forest area certified under an independently verified certification scheme  [1000 ha],277.32
2010,-,Proportion of forest area within legally established protected areas (%),9.96
2011,-,Forest area certified under an independently verified certification scheme  [1000 ha],270.03
2012,-,Forest area certified under an independently verified certification scheme  [1000 ha],275.17
2013,-,Forest area certified under an independently verified certification scheme  [1000 ha],240.84
2014,-,Forest Area under formal and sustainable Management [1000 ha],3010.8779999999997
2014,-,Forest area certified under an independently verified certification scheme  [1000 ha],224.34
2015,-,Forest Area under formal and sustainable Management [1000 ha],3238.54
2015,-,Forest area certified under an independently verified certification scheme  [1000 ha],142.47
2015,-,Proportion of forest area within legally established protected areas (%),9.96
2016,-,Forest area certified under an independently verified certification scheme  [1000 ha],152.89
2017,-,Forest area certified under an independently verified certification scheme  [1000 ha],225.48
