Year,Units,Total,Disaggregation,Region,GeoCode,Value
2000,%,Total,,,,74.9
2000,%,,Currently married,,,63.5
2000,%,,Urban,,,78.3
2000,%,,Rural,,,71.5
2000,%,Total,,!Karas,1.0,81.6
2000,%,Total,,Erongo,2.0,87.4
2000,%,Total,,Hardap,3.0,74.6
2000,%,Total,,Kavango East,4.0,72.9
2000,%,Total,,Kavango West,5.0,72.9
2000,%,Total,,Khomas,6.0,71.9
2000,%,Total,,Kunene,7.0,70.4
2000,%,Total,,Ohangwena,8.0,54.8
2000,%,Total,,Omaheke,9.0,74.3
2000,%,Total,,Omusati,10.0,71.7
2000,%,Total,,Oshana,11.0,70.3
2000,%,Total,,Oshikoto,12.0,74.9
2000,%,Total,,Otjozondjupa,13.0,86.5
2000,%,Total,,Zambezi,14.0,76.2
2006,%,Total,,,,83.3
2006,%,,Currently married,,,72.8
2006,%,,sexually active unmarried,,,92.9
2006,%,,Urban,,,88.6
2006,%,,Rural,,,77.0
2006,%,Total,,!Karas,1.0,83.7
2006,%,Total,,Erongo,2.0,89.4
2006,%,Total,,Hardap,3.0,81.6
2006,%,Total,,Kavango East,4.0,71.0
2006,%,Total,,Kavango West,5.0,71.0
2006,%,Total,,Khomas,6.0,91.1
2006,%,Total,,Kunene,7.0,74.6
2006,%,Total,,Ohangwena,8.0,74.9
2006,%,Total,,Omaheke,9.0,82.2
2006,%,Total,,Omusati,10.0,84.2
2006,%,Total,,Oshana,11.0,84.9
2006,%,Total,,Oshikoto,12.0,81.5
2006,%,Total,,Otjozondjupa,13.0,70.0
2006,%,Total,,Zambezi,14.0,76.5
2013,%,Total,,,,80.4
2013,%,,Currently married,,,75.0
2013,%,,sexually active unmarried,,,84.1
2013,%,,Urban,,,84.8
2013,%,,Rural,,,73.9
2013,%,Total,,!Karas,1.0,86.1
2013,%,Total,,Erongo,2.0,87.9
2013,%,Total,,Hardap,3.0,77.9
2013,%,Total,,Kavango East,4.0,68.8
2013,%,Total,,Kavango West,5.0,68.8
2013,%,Total,,Khomas,6.0,85.5
2013,%,Total,,Kunene,7.0,73.8
2013,%,Total,,Ohangwena,8.0,70.7
2013,%,Total,,Omaheke,9.0,77.0
2013,%,Total,,Omusati,10.0,74.6
2013,%,Total,,Oshana,11.0,87.5
2013,%,Total,,Oshikoto,12.0,78.3
2013,%,Total,,Otjozondjupa,13.0,80.0
2013,%,Total,,Zambezi,14.0,81.1
