Year,Units,Total,Disaggregation,Region,GeoCode,Value
2006,%,Total,,,,81.4
2006,%,,Urban,,,93.9
2006,%,,Rural,,,72.5
2006,%,,,!Karas,1.0,93.7
2006,%,,,Erongo,2.0,92.6
2006,%,,,Hardap,3.0,90.5
2006,%,,,Kavango East,4.0,63.5
2006,%,,,Kavango West,5.0,63.5
2006,%,,,Khomas,6.0,95.3
2006,%,,,Kunene,7.0,54.4
2006,%,,,Ohangwena,8.0,71.3
2006,%,,,Omaheke,9.0,76.2
2006,%,,,Omusati,10.0,87.6
2006,%,,,Oshana,11.0,88.8
2006,%,,,Oshikoto,12.0,78.5
2006,%,,,Otjozondjupa,13.0,80.4
2006,%,,,Zambezi,14.0,80.0
2013,%,Total,,,,88.2
2013,%,,Urban,,,94.9
2013,%,,Rural,,,81.7
2013,%,,,!Karas,1.0,93.3
2013,%,,,Erongo,2.0,97.9
2013,%,,,Hardap,3.0,95.3
2013,%,,,Kavango East,4.0,75.0
2013,%,,,Kavango West,5.0,75.0
2013,%,,,Khomas,6.0,96.2
2013,%,,,Kunene,7.0,74.0
2013,%,,,Ohangwena,8.0,85.9
2013,%,,,Omaheke,9.0,76.2
2013,%,,,Omusati,10.0,87.0
2013,%,,,Oshana,11.0,94.8
2013,%,,,Oshikoto,12.0,89.7
2013,%,,,Otjozondjupa,13.0,86.1
2013,%,,,Zambezi,14.0,86.1
