Year,Units,Disaggregation,Value
2000,%,F age 20-24 married by age 15,2.2
2000,%,F aged 20-24 married by age 18,9.8
2006,%,F age 20-24 married by age 15,2.4
2006,%,M aged 20-24 married by age 15,0
2006,%,F aged 20-24 married by age 18,8.6
2006,%,M aged 20-24 married by age 18,0.3
2013,%,F age 20-24 married by age 15,1.6
2013,%,M aged 20-24 married by age 15,0
2013,%,F aged 20-24 married by age 18,6.9
2013,%,M aged 20-24 married by age 18,1.4
2016,%,F age 20-24 married at age 15,0.1
2016,%,F age 20-24 married at age 18,0.9
