Year,Units,Disaggregation,Region,GeoCode,Value
2004,%,,,,
2005,%,,,,
2006,%,,,,
2007,%,,,,
2008,%,,,,
2009,%,,,,
2010,%,,,,
2011,%,,,,
2012,%,,,,
2013,%,,,,
2014,%,,,,
2015,%,,,,
2016,%,,,,
2017,%,,,,
2018,%,,,,
2004,%,2G,,,88
2004,%,3G,,,23
2005,%,2G,,,88
2005,%,3G,,,32
2006,%,2G,,,90
2006,%,3G,,,37
2007,%,2G,,,95
2007,%,3G,,,37
2008,%,3G,,,37
2009,%,2G,,,78
2010,%,2G,,,92
2010,%,3G,,,13
2011,%,2G,,,100
2011,%,3G,,,23
2012,%,2G,,,100
2012,%,3G,,,32
2013,%,2G,,,100
2013,%,3G,,,37
2014,%,2G,,,100
2014,%,3G,,,37
2014,%,4G,,,40
2015,%,2G,,,100
2015,%,3G,,,37
2015,%,4G,,,40
2016,%,2G,,,100
2016,%,3G,,,53
2016,%,4G,,,39
2018,%,2G,,,97
2018,%,3G,,,82
2018,%,4G,,,36
