Year,Units,Disaggregation,Region,GeoCode,Value
2000,%,Total,,,20.2
2006,%,Total,,,13.9
2013,%,Total,,,19.4
2000,%,Urban,,,18.9
2000,%,Rural,,,22.6
2000,%,Total,!Karas,1,27.3
2000,%,Total,Erongo,2,19.1
2000,%,Total,Hardap,3,18.3
2000,%,Total,Kavango East,4,24.3
2000,%,Total,Kavango West,5,24.3
2000,%,Total,Khomas,6,14.1
2000,%,Total,Kunene,7,22.3
2000,%,Total,Ohangwena,8,28
2000,%,Total,Omaheke,9,9.9
2000,%,Total,Oshana,11,26.2
2000,%,Total,Oshikoto,12,28.7
2000,%,Total,Otjozondjupa,13,15.2
2006,%,Urban,,,17.5
2006,%,Rural,,,9.5
2006,%,Total,!Karas,1,15.9
2006,%,Total,Erongo,2,14.1
2006,%,Total,Hardap,3,12.2
2006,%,Total,Kavango East,4,11.2
2006,%,Total,Kavango West,5,11.2
2006,%,Total,Khomas,6,20.7
2006,%,Total,Kunene,7,10.9
2006,%,Total,Ohangwena,8,11.1
2006,%,Total,Omaheke,9,20.3
2006,%,Total,Omusati,10,10.4
2006,%,Total,Oshana,11,10.6
2006,%,Total,Oshikoto,12,10.4
2006,%,Total,Otjozondjupa,13,14.3
2013,%,Urban,,,21.9
2013,%,Rural,,,13.4
2013,%,Total,!Karas,1,13.7
2013,%,Total,Erongo,2,14.8
2013,%,Total,Hardap,3,18.7
2013,%,Total,Kavango East,4,14.3
2013,%,Total,Kavango West,5,14.3
2013,%,Total,Khomas,6,29.2
2013,%,Total,Kunene,7,20
2013,%,Total,Ohangwena,8,12.3
2013,%,Total,Omaheke,9,14.8
2013,%,Total,Omusati,10,18.8
2013,%,Total,Oshana,11,16.7
2013,%,Total,Oshikoto,12,11.9
2013,%,Total,Otjozondjupa,13,15.3
