Year,Units,Disaggregation,Value
2004,1000 ha,Forest area certified under an independently verified certification scheme  [1000 ha],270.73
2005,1000 ha,Forest area certified under an independently verified certification scheme  [1000 ha],292.16
2005,%,Proportion of forest area within legally established protected areas (%),9.96
2006,1000 ha,Forest area certified under an independently verified certification scheme  [1000 ha],306.49
2007,1000 ha,Forest area certified under an independently verified certification scheme  [1000 ha],219.62
2008,1000 ha,Forest area certified under an independently verified certification scheme  [1000 ha],219.62
2009,1000 ha,Forest area certified under an independently verified certification scheme  [1000 ha],327.92
2010,1000 ha,Forest area certified under an independently verified certification scheme  [1000 ha],277.32
2010,%,Proportion of forest area within legally established protected areas (%),9.96
2011,1000 ha,Forest area certified under an independently verified certification scheme  [1000 ha],270.03
2012,1000 ha,Forest area certified under an independently verified certification scheme  [1000 ha],275.17
2013,1000 ha,Forest area certified under an independently verified certification scheme  [1000 ha],240.84
2014,1000 ha,Forest Area under formal and sustainable Management [1000 ha],3010.878
2014,1000 ha,Forest area certified under an independently verified certification scheme  [1000 ha],224.34
2015,1000 ha,Forest Area under formal and sustainable Management [1000 ha],3238.54
2015,1000 ha,Forest area certified under an independently verified certification scheme  [1000 ha],142.47
2015,%,Proportion of forest area within legally established protected areas (%),9.96
2016,1000 ha,Forest area certified under an independently verified certification scheme  [1000 ha],152.89
2017,1000 ha,Forest area certified under an independently verified certification scheme  [1000 ha],225.48
